mid,Model type,Publication,Population,Drug,Disease,PMID,Training data Reference,Training data,Program/code
M1,PBPK,"Mahdy WYB, Yamamoto K, Ito T, et al. Physiologically-based pharmacokinetic model to investigate the effect of pregnancy on risperidone and paliperidone pharmacokinetics: Application to a pregnant woman and her neonate. Clin Transl Sci. 2023;16(4):618-630.",pregnany/neonate,risperidone/paliperidone,psychosis,36655374,"Figure S1. Schematic workflow of the methodology adopted for risperidone and paliperidone physiologically based pharmacokinetic model development, verification, and application in individual subjects.",https://ascpt.onlinelibrary.wiley.com/action/downloadSupplement?doi=10.1111%2Fcts.13473&file=cts13473-sup-0002-FigureS1.pdf,NA
M2,PBPK,"Song Y, Wang W, Liu X, et al. Physiologically Based Pharmacokinetic Modeling for Multiple Oral Administration Labetalol in Pregnant Women. Pharm Res. 2023;40(7):1765-1775.",Pregnant Women,Labetalol,Hypertensive disorders of pregnancy (HDP),37142805,"The observed data for validation were from published studies [26,27,28] and a bioequivalency review [29]. Step 2: Establish the model of non-pregnant women with enzyme parameters obtained by fitting with published studies [30, 31] and validated by the simulation of non-pregnant women [26, 27, 29] to confirm that the enzyme parameters were acceptable. Step 3: Using the validated parameters and considering the changes in the metabolic capacity of enzymes due to pregnancy [30, 32] and multiple administrations, the model of pregnant women was established by referring to the published tutorial [22] and validated against the data from Saotome's study [33].",https://link.springer.com/article/10.1007/s11095-023-03523-y/figures/1,NA
M3,PBPK,"Amice B, Ho H, Zhang E, Bullen C. Physiologically Based Pharmacokinetic Modelling for Nicotine and Cotinine Clearance in Pregnant Women. Front Pharmacol. 2021;12:688597.",Pregnant Women,Nicotine/Cotinine,spontaneous abortion,34354586,"Published plasma NIC/COT concentration data that was used to validate the PBPK model in (Robinson et al., 1992), were employed to validate the non-pregnant woman model. Specifically, the plasma levels of cotinine for four non-smoking subjects after cotinine infusion (0.67 mg/min for 30 min), as reported by De Schepper et al. (1987), and the plasma NIC/COT concentration after nicotine infusion (10 µg/min for 60 min) in six non-smoking subject, as reported by (Curvall et al., 1990), were used to compare with our model simulations.
",https://link.springer.com/article/10.1007/BF00606635 // https://link.springer.com/article/10.1007/BF00315031// https://linkinghub.elsevier.com/retrieve/pii/S0146-0005(96)80079-6,NA
M4,PBPK,"Alrammaal HH, Abduljalil K, Hodgetts Morton V, et al. Application of a Physiologically Based Pharmacokinetic Model to Predict Cefazolin and Cefuroxime Disposition in Obese Pregnant Women Undergoing Caesarean Section. Pharmaceutics. 2022;14(6):1162.",Pregnant Women,Cefazolin/Cefuroxime,Obesity,35745736,"The PBPK cefazolin model was evaluated using (a) two independent pharmacokinetics studies on lean non–pregnant subjects [8,44], (b) three independent pharmacokinetics studies conducted in pregnant populations [2,8,45,46], (c) one study in an obese population [47] and (d) four independent pharmacokinetics datasets from obese and morbidly obese pregnant populations [21,22,23] (Figure 1).",NA,NA
M5,PBPK,"Biesdorf C, Martins FS, Sy SKB, Diniz A. Physiologically-based pharmacokinetics of ziprasidone in pregnant women. Br J Clin Pharmacol. 2019;85(5):914-923.",Pregnant Women,ziprasidone,Schizophrenia,30669177,Table 2. Summaries of observed data of ziprasidone,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6475689/table/bcp13872-tbl-0002/?report=objectonly,NA
M6,PBPK,"Brown SD, Bartlett MG, White CA. Pharmacokinetics of intravenous acyclovir, zidovudine, and acyclovir-zidovudine in pregnant rats. Antimicrob Agents Chemother. 2003;47(3):991-996.",pregnant rats,acyclovir/zidovudine/acyclovir-zidovudine,herpes simplexvirus types 1 and 2 (HSV-1 and -2),12604532,measured,NA,NA
M7,PBPK,"Zheng L, Yang H, Dallmann A, Jiang X, Wang L, Hu W. Physiologically Based Pharmacokinetic Modeling in Pregnant Women Suggests Minor Decrease in Maternal Exposure to Olanzapine. Front Pharmacol. 2022;12:793346.",pregnant Women,Olanzapine,schizophrenia,35126130,Supplementary Table 1. Summary of pharmacokinetic reports of olanzapine used in PBPK modeling.,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2021.793346/full#supplementary-material,NA
M8,PBPK,"Song L, Yu Z, Xu Y, et al. Preliminary physiologically based pharmacokinetic modeling of renally cleared drugs in Chinese pregnant women. Biopharm Drug Dispos. 2020;41(6):248-267.",pregnant Women,ceftazidime/cefuroxime/fluconazole/aztreonam/imipenem/ceftriaxone,NA,32520400,Table S1. Literature research of physiological parameters for Chinese (and East Asian) pregnant women-https://onlinelibrary.wiley.com/doi/10.1002/bdd.2243,NA,NA
M9,PBPK,"Szeto KX, Le Merdy M, Dupont B, Bolger MB, Lukacova V. PBPK Modeling Approach to Predict the Behavior of Drugs Cleared by Kidney in Pregnant Subjects and Fetus. AAPS J. 2021;23(4):89.",pregnant Women,cefuroxime/cefazolin,NA,34169370,Supplementary Material 3: Model parameters and data origins:Table 1: Clinical data used for the development and verification of models for CFX and CZ.,https://link.springer.com/article/10.1208/s12248-021-00603-y,NA
M10,PBPK,"Macente J, Nauwelaerts N, Russo FM, et al. PBPK-based dose finding for sildenafil in pregnant women for antenatal treatment of congenital diaphragmatic hernia. Front Pharmacol. 2023;14:1068153.",pregnant Women,sildenafil,congenital diaphragmatic hernia,36998614,Supplementary Table S1- Ratio between the predicted and observed pharmacokinetic parameters of sildenafil and N-Desmethyl-Sildenafil in different doses and regimen in adult reference individuals as reference population.,https://www.frontiersin.org/journals/pharmacology/articles/10.3389/fphar.2021.793346/full#supplementary-material,NA
M11,PBPK,"Ke AB, Nallani SC, Zhao P, Rostami-Hodjegan A, Isoherranen N, Unadkat JD. A physiologically based pharmacokinetic model to predict disposition of CYP2D6 and CYP1A2 metabolized drugs in pregnant women. Drug Metab Dispos. 2013;41(4):801-813.",pregnant Women,theophylline/metoprolol/paroxetine/dextromethorphan/dextrorphan,NA,23355638,"1.theophylline-Gardner et al., 1987 2.metoprolol-Hamelin et al., 2000; Sharma et al., 2005 3.paroxetine-Sindrup et al., 1992b ; Ververs et al., 2009  4.dextromethorphan/dextrorphan-Abdul Manap et al., 1999; Gorski et al., 2004; Abduljalil et al., 2010; Abdul Manap et al., 1999; Capon et al., 1996)",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608458/figure/F1/  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608458/figure/F2/  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608458/figure/F3/  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3608458/figure/F4/,NA
M12,PBPK,"Ke AB, Nallani SC, Zhao P, Rostami-Hodjegan A, Unadkat JD. Expansion of a PBPK model to predict disposition in pregnant women of drugs cleared via multiple CYP enzymes, including CYP2B6, CYP2C9 and CYP2C19. Br J Clin Pharmacol. 2014;77(3):554-570.",pregnant Women,methadone/phenytoin/glyburide,NA,23834474,"1.methadone-Mean observed data are overlaid (• R-METH profile; ○ S-METH profile) 20,21 2.phenytoin-(A) Predicted (solid line) and observed (symbols) 56–58 PHT plasma concentration–time profiles following chronic dosing of 300 mg day−1 (orally) in non-pregnant healthy subjects.  3.glyburide-(A) Predicted and observed plasma concentration–time profiles of glyburide (GLB) after administration of a single oral dose of 1.75–5 mg to non-pregnant subjects. The black and grey solid lines represent predicted mean profile in subjects receiving 1.75 mg and 5 mg, respectively. Mean observed data after the administration of 1.75 mg GLB (• and ○) and 5 mg GLB (◆) are overlaid [37],[71],[72].",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371535/figure/fig02/  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371535/figure/fig03/   https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371535/figure/fig04/  https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4371535/figure/fig05/,NA
