PMID,Population,Study type,Pregnancy Stage,Drug names,data source,inclusion ,exclusion,outcomes,sample size,study design,RWD,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at,Drug CUI
551926,Infants,PE,postpartum,methadone/heroin,"Lincoln Hospital or the Bronx Municipal Hospital Center, teaching hospitals of the Albert Einstein College of Medicine, Bronx, NY between 1972-1974","neonates born to mothers with histories of active drug dependency were identified, and maternal drug-taking patterns confirmed by urine analyses for drug metabolites whenever possible. All cases of SIDS during the three year period were identified by review of emergency room records of the two hospitals. Postmortem examinations were performed in the Office of the Chief Medical Examiner of New York City and all cases were reviewed by Assistant Medical Examiner Young Mun Rho, MD to rule out other diagnosable causes of death. ",,Sudden infants death syndrome (SIDS),383 infants,Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,2,2025-12-02T15:55:34.187949,C0202418|C0011892
1032747,Neonates,PE,postpartum,Methadone/heroin,"Hutzel Hospital Methadone-Prenatal Care Program at Wayne State University, Detroit, MI","This report concerns the withdrawal symptomatology of infants born to methadone-treated opiate addicts enrolled in the Hutzel Hospital MethadonePrenatal Care Program at Wayne State University. The physicians and nurses who made entries in these infants’ medical records, including observations of withdrawal symptomatology, were aware of the drugdependent status of the infants’ mothers but not of their methadone doses.","Two infants who died. Mortality was due to hydroureter, hydronephrosis, and renal abscesses in a 3,005-g, 40-week male at 4 days and to atelectasis at 10 hr in a 3,232-g, 40-week male.",Neonatal withdrawal symptoms and duration,"34 male and 36 female newborns. 33 at dose ≤20 mg/day, 37 at dose >20 mg/day",prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,3,2025-12-02T15:55:34.187949,C0202418|C0011892
1115128,Neonates,PE,Delivery/Postpartum,methadone,New York City Methadone Maintenance Treatment Program between 1970 and 1973.,"In this paper we will present data regarding all 313 babies born live to women enrolled in the New York City Methadone Maintenance Treatment Program (NYC MMTP) from its inception in November, 1970, through the end of June, 1973. The deliveries which are the subject of this report took place in more than 50 different hospitals in the metropolitan New York area. ",there were 10 stillbirths which are not included in this study. ,"Birth weight, Apgar score, Neonatal withdrawal syndrome, infany mortality",313 mothers and their infants,Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,4,2025-12-02T15:55:34.187949,C0202418
1394753,Children,RCT,,bupivacaine/fentanyl,"Department of Anaesthesia, The Hospital for Sick Children, University of Toronto, Toronto Ontario, Canada","aged 1-11 yr and of ASA physical status I or II, scheduled for urological surgery expected to take less than three hours","Children with cardiovascular, respiratory or hepatic impairment were excluded.",efficacy and safety of a caudal bupivacaine-fentanyl mixture in children,34,prospective/controlled/triple-blind study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,5,2025-12-02T15:55:34.187949,C0006400|C0015846
1549940,Children,RCT,,fentanyl/Propofol/thiopental/halothane,"Department of Anesthesiology, University Hospital, Lund, Sweden",informed consent,not reported,effectivess of Propofol-fentanyl vs. thiopental-halothane anesthesia,44,randomised open study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,6,2025-12-02T15:55:34.187949,C0015846|C1369539|C0039925|C0018549
1549941,Maternal/adults,PE/safety,delivery/non-pregnant,Ketobemidone,"Department of Anaesthesiology and Hospital Pharmacy, University Hospital, Uppsala, Sweden","One hundred and twenty-one consecutive patients undergoing obstetrical or gynaecological operations and who requested postoperative pain relief, were studied. ",Patients with known respiratory infections or disorders were excluded from the study. ,"Cough. A cough reaction was monitored 15-45 s after administration and was recorded as none, a single cough  + or as severe  + +  when more than one cough was noted. ",121,prospective/drug safety,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,7,2025-12-02T15:55:34.187949,C0064311
1599892,Maternal,RCT,Labor/Delivery,morphine,Department of Anesthesiology. Los Angeles County-University or Southern California Medical Center. Los Angeles. California,"We studied 82 healthy women at term who underwent cesarean delivery wilh spinal anesthesia. Patients were randomly assigned to receive, in a double-blind fashion, either 0.2 mg of morphine (Group I, n = 40) or saline (Group 2, n= 42) in 0.2 ml volume mixed with 0.75% bupivacaine in 8.25% dextrose plus 0.2 ml of 1:1000 epinephrine. Spinal anesthesia was induced in the lateral position using a 25-gauge spinal needle at L1-4 interspace with the bevel parallel to the dural fibers during insertion into the subarachnoid space. Patients were followed daily for three days by anesthesia research fellows to assess the occurrence of headache. ",,"Post dural puncture headache (PDPH) and other side effects. A headache was considered as being typical PDPH if it occurred after the patient became ambulalory. was aggravaled by sitting or standing position, was relieved by lying supine, and was mostly occipital or frontal. If the above criteria were also accompanied by dizziness, vomiting, rigidity of the neck, or visual or auditory disturbances. the headache was considered an unusually severe PDPH.","40 given morphine, 42 given normal saline",prospective/double-blind/randomized study ,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,8,2025-12-02T15:55:34.187949,C0026549
1727992,Maternal/Neonates,PE,Delivery/Postpartum,opiates/morphine/heroin,"Hutzel Hospital, a tertiary perinatal center in Detroit, from November 1988 to October 1989.","We prospectively enrolled into the study every other newborn. The mother of each enrolled newborn was instructed to place all of his or her soiled diapers, during the first 2 or 3 days after birth, into a bag at the newborn's bedside; the bag was collected daily. Meconium was taken directly from the newborn's diapers and processed for drugs. In the current study, drug levels in meconium equal to or below the cutoff values were considered •negative• for the respective drug metabolites.",,"obstetrical, and neonatal outcomes","617 morphine exposed, 1677 unexposed",Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,9,2025-12-02T15:55:34.187949,C0376196|C0026549|C0011892
1910797,neonates,PE,not applicable,Fentanyl/opiates/morphine sulfate,"Department of Anesthesia, Children’s Hospital",neonates undergoing open-heart surgery for HLHS (hypoplastic left heart syndrome),not reported,"Clinical condition assessed by preoperative and intraoperative arterial blood gases, requirements for sodium bicarbonate (NaHCO), need for inotropic and pressor support, and vital signs. Outcome assessments by intraoperative ventricular fibrillation (frequency before and after bypass) and hospital mortality.",40,Retrospective chart review ,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,10,2025-12-02T15:55:34.187949,C0015846|C0376196|C0066814
1911501,Maternal,RCT,Delivery,morphine/diphenhydramine/naloxone/metoclopramide,"Department of Anesthesiology, University of Washington School of Medicine, Seattle, Washington","Healthy ASA I or II women undergoing non-emergent cesarean delivery were identified prospectively and randomized to receive either a single injection of epidural MS followed by placebo saline infusion (Group I) or a smaller epidural MS injection followed by epidural MS infusion (Group 2). Group I patients
received a 5-mg bolus of preservative-free MS followed by a continuous epidural infusion of preservative-free saline at a rate of 0.1 ml/hour. Group 2 patients received a 2.6-mg bolus of preservative-free MS followed by an epidural infusion of 0.1 % MS at a rate of 0.1 ml/hour (0.1 mg MS/hour). In the event of inadequate analgesia during the study, 5 mg intramuscular MS was administered by nursing staff as needed.",,"overall satisfaction with analgesia, verbal pain scores, level of activity, need for supplemental opioids, or incidence of sedation during the 24-bour study period. Patients were asked to quantify their pain at each observation using a 0-10 verbal pain scale, with 0 representing no pain and 10 representing the worst pain imaginable. In addition, each patient was asked to rate their overall analgesic experience for the 24-hour period as satisfactory or unsatisfactory. Objective criteria were used to determine the incidence and severity of respiratory depression, pruritus and nausea. Respiratory depression was considered to be present if the nursing staff recorded a respiratory rate of 11 breaths/ minute or less, or if the patient was somnolent and difficult to arouse. Pruritus and nausea were quantified based on their requirement for therapy. These side effects were considered clinically insignificant if the patient reported no side effect or if the side effect was present but did not require therapy. Sedation was assessed subjectively by the patient. If the patient reported normal sleep and wakefulness, sedation was judged to be absent. Sleep periods longer than expected or difficulty in maintaining wakefulness resulted in a positive response. Level of activity was scored as ""no activity"" (confined to bed) or ""ambulating"" whether with assistance or independently.","n=13 given 5 mg morphine, n=18 given 2.6 mg morphine bolus followed by 0.1 mg/h infusion",prospective/randomized/double-blind study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,11,2025-12-02T15:55:34.187949,C0026549|C0012522|C0027358|C0025853
1989740,Pediatric,RCT,,prophylaxis/promethazine/droperidol ,"(Departments of Anaesthesia and Ophthalmology) Hopital Sainte-Justine and Universit6 de Montr6al Montreal, Quebec, Canada","provision of informed consent from parents, ASA physical status  I, between two to ten years of age, and requiring out_x0002_patient strabismus surgery.",not reported,effectiveness of Antiemetic prophylaxis with promethazine or droperidol in paediatric strabismus surgery ,100,randomized/double-blind study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,12,2025-12-02T15:55:34.187949,C0033107|C0033405|C0013136
2066846,Children,RCT,,Morphine/methadone,"From the Departments of Anaesthesia (Pediatrics) and Nursing, Children's Hospital and Harvard Medical School, Boston, Massachusetts, and the University of Colorado Health Sciences Center School of Nursing, Denver.","The sample consisted of 35 subjects who met the following criteria: (1) boys or girls 3 to 7 years of age, (2) English-speaking children, (3) scheduled for major surgery for which significant postoperative pain could be expected, (4) had surgery of at least 90 minutes' duration involving the back, thorax, abdomen, pelvis, or extremities, and (5) able to provide self-reports of pain intensity by using the selected research instruments.","Children were excluded from the sample if there was evidence on history and physical examination (or, when indicated, on screening laboratory studies), suggesting (1) severe liver dysfunction (bilirubin level >2.0 mg/dl; 34 mmol/L) or renal dysfunction (creatinine concentration >1.5 mg/dl; 132 gmol/L), (2) neurologic or psychiatric disturbances, developmental delay, or learning disabilities, (3) chronic opioid administration, or (4) allergy to any opioid.",Pain management,35,"Randomized, double-blind, prospective",,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,13,2025-12-02T15:55:34.187949,C0026549|C0202418
2166452,Maternal,RCT,Labor/Delivery/Postpartum,Opioids/Morphine/meperidine/bupivacaine,"University Hospital, University of Saskatchewan, Saskatchewan, Canada between May 1987 and June 1988","200 parturients were sequentially randomized immediately following delivery to receive either preservative-free epidural morphine sulfate (Epimorph®, A. H. Robbins, Montreal, Quebec, Canada) 4 or 5 mg as a single dose, or im opioids for postoperative pain control. Morphine was the only opioid administered epidurally. Either meperidine 50100 mg or morphine sulfate 7.5-10 mg, was given in single im doses, depending on the requirements of the patient and the choice of the attending physician.",13 were excluded from analysis due to protocol violation,incidence of herpes labialis and of oral viral shedding to herpes labialis,"96 given epidural morphine, 91 given intramuscular opioids",controlled prospective randomized study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,14,2025-12-02T15:55:34.187949,C0242402|C0026549|C0025376|C0006400
2248393,Neonates,PE,postpartum,fentanyl,"department of anesthesia, children's hospital and Harvard Medical School, department of biostatistics, Havard school of public health, division of clinical pharmacology, Tufts New England Medical center, Boston-Massachusetts",neonates without any related congenital diaphragmatic hernia,neonates with congenital diaphragmatic hernia,"NAS, membrane oxygenation",37,retrospective chart review,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,15,2025-12-02T15:55:34.187949,C0015846
2486655,Maternal,RCT,Delivery,fentanyl/bupivacaine,"Departement d'Anesthesie et de Reanimation Chirurgicale, Hospital Cochin-Maternites, Universite Paris V, Paris, France","The studied population was composed of 64 healthy pregnant women with uncomplicated full-term gestation (>38 weeks), who elected to have epidural analgesia for labor and delivery. study participants received, in a random manner, 80 μg of fentanyl diluted, either in 2 ml (Group I) or in 8 ml (Group 2) of normal saline. Seven minutes after fentanyl, each parturient was injected with an additional dose of 8 ml of 0.25% plain bupivacaine. The study ended at the first epidural redose.","Previous opioid administration excluded the patient from the study. Also, If a further injection was needed within 35 minutes (in addition to the intial pain relief medication), these parturients were eliminated from data analysis","The duration of analgesia was defined as the time between administration of the test-dose and the first request for reinjection. The patients were asked to rate the efficacy of epidural block. Analgesia was considered successful and adequate when contractions were painless (defined as the lack of any sensation of discomfort during contractions). Inadequate pain relief was assessed as decreased but persisting painful contractions, persisting painful area or lateralized analgesia. The presence of adverse side effects including pruritus, nausea, vomiting, drowsiness, low blood pressure ( defined as a decrease of systolic pressure greater than 20% from baseline), respiratory depression (respiratory rate less than 10 per minute) was also recorded.",Group 1 =30 and Group 2 =30,prospective/blinded/randomized study ,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,16,2025-12-02T15:55:34.187949,C0015846|C0006400
2672899,Preterm birth,RCT,postpartum/preterm,caffeine,"departments of anesthesiology, pulmonary medicine, laboratory medicine and pediatrics, children's national medical center and george washington university (washingron DC), diagnostic systems branch",ASA physical status 1 or 2; former premature infants born at ≤37 weeks gestational age undergoing general anesthesia for inguinal hernia repair.,not reported,postoperative apnea,32,prospective/double blind randomized study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,17,2025-12-02T15:55:34.187949,C0236734
3752011,Maternal/Neonates,PE,postpartum,opioids/illicit substance use,"All new infants entering this clinic from July 1984 through July 1985 were eligible for the study.Eleven patients were recruited from this population. In addition, 11 infants with a positive maternal history of substance abuse,",,,ventilatory response,70,prospective/comparative cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,18,2025-12-02T15:55:34.187949,C0242402|C0281875
4429107,Maternal/Neonates,PE,Pregnancy/delivery/postpartum,methadone/heroin,"Hutzel Hospital Methadone-Prenatal Care Program at Wayne State University, Detroit, MI","The records of 144 patients were examined in this study. Seventy-two were consecutively admitted heroin addicts treated in a methadone maintenance-prenatal care program at Hutzel Hospital for at least 6 weeks prior to term. Two comparison groups, each consisting of 36 nonaddicted women who had delivered at approximately the same time of year, were also selected for study. The first group clinic control consisted of clinic patients of similar socioeconomic background as the addicted women. The second group, a high-risk control, was originally planned to consist of patients whose complications and illnesses during pregnancy were matched to those of the addicted patients. ",,maternal and neonatal outcomes,"72 methadone addicts, 36 clinic controls, 36 high-risk controls",Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,19,2025-12-02T15:55:34.187949,C0202418|C0011892
4521702,Maternal/Neonates,PE,Delivery/Postpartum,methadone,New York City Methadone Maintenance Treatment Program between 1970 and 1972.,"Results of the first 120 consecutive completed pregnancies* of patients in the NYC MMTP New York City Methadone Maintenance Treatment Program between November, 1970, and October, 1972 are described. Data were obtained both from the program staff in direct interviews with the mother and from the birth certificates filed with the City of New York Department of Health.",,"Birth weight, Apgar score, Neonatal withdrawal syndrome, and maternal and neonatal complications",120 mothers and their infants,Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,20,2025-12-02T15:55:34.187949,C0202418
4740334,Maternal/Neonates,PE,Labor/Delivery/Postpartum,methadone/heroin/meperidine/promazine,"Methadone Maintenance Treatment Program at the Bernstein Institute of the Beth Israel Medical Center, New York",The current study in the Methadone Maintenance Treatment Program includes more than 100 consecutive pregnancies observed at this institution,"Patients who drifted in and out of observation are not included, as they may be included in reports from other institutions",maternal and neonatal outcomes,"105 pregnancies, 61 live births",Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,21,2025-12-02T15:55:34.187949,C0202418|C0011892|C0025376|C0033399
6058747,Maternal/Preterm/Neonates,RCT,Labor/Delivery/Postpartum,meperidine/scopolamine,"Departments of Gynecology and Obstetrics, Baltimore City Hospitals and The University of Maryland, and the Baltimore City Health Department between Oct 1961 and June 1965","Since there is wide variation in death rates of premature infants by race, only Negro women in premature labor were selected from the labor rooms of the University Hospital and later at Baltimore City Hospitals. Since most of the infants whose birth weights are below 2,000 grams are followed in our hospital's premature clinic, a year's follow-up was initiated. Therefore, the ampules used in the study were prepared to contain 100 mg. meperidine, or 100 mg. meperidine plus 0.4 mg. scopolamine, or 0.4 mg. scopolamine, or 1 mi. of saline. By random selection and in a blind manner, patients were given the contents of one ampule intramuscularly, when sedation was indicated. Complete records were compiled and placed on an IBM card.","In order to eliminate problems that may be lethal to the neonate, all premature infants, including those discharged alive, were deleted if the following complications were present: hypertension of all types, anemia {less than 10 Gm. hemoglobin, heart disease, diabetes, thyroid diseases, hydramnios. positive STS, Rh sensitization, contracted pelvis, induction of labor, bleeding of any type, prolapse of the cord, intrapartum fever, uterine inertia, antepartum shock, anesthetic accident, death of the fetus before labor, and diseases of the neonate such as hemorrhagic diseases, diarrhea, pneumonia, septicemia, erythroblastosis, and major congenital anomalies. Those patients who were delivered of term infants by weight were not included in the study. Premature infants born without receiving; any of the study ampules were not used, as well as any premature receiving other analgesic medication.","Death within 28 days, respiratory distress syndrome, Apgar scores, conduction ","271 from meperidine group, 228 from meperidine and scopolamine group, 251 from scopolamine group, and 252 from normal saline group",prospective/double-blind study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,22,2025-12-02T15:55:34.187949,C0025376|C0036442
6164775,Neonates,PE,Pregnancy/delivery/postpartum,methadone/opiates/barbiturates/amphetamine/codeine/and diazepam,"Houston's public maternity hospital between August, 1974, and July, 1977","The final sample consisted of 68 narcotic-dependent women who delivered 69 liveborn infants. Enrollment in the study corresponded with the time of registration for obstetrical care, and varied from eight weeks' gestation to delivery. a sample of drug-free control subjects was selected from the obstetrical service. Controls were matched for maternal age, race, socioeconomic level, marital status, and duration of gestation at the time prenatal care was initiated. Group A: 29 untreated heroin-dependent mothers who delivered 30 infants (one pair of twins). The average duration of addiction was 4.2 years, range one to 14 years. Group B: 39 methadone-treated mothers who delivered 39 liveborn infants. Control Group C: 57 drug-free mothers who delivered 58 infants (one pair of twins). These women had no history or evidence of present or prior use of addictive or psychoactive drugs.",Four participants were eliminated from the study after giving birth to stillborn infants. ,"Neonatal birth and 1 year health, and developmental outcomes","68 drug-dependent mothers and 69 newborns, 57 controls and their 58 newborns",Prospective cohort study,,Combined PE Opioids curated data 11.2024.xlsx,Aditi,study info,Study_info,23,2025-12-02T15:55:34.187949,C0202418|C0376196|C0391936|C0428221|C0009214|CUI_NOT_FOUND
