PMID,Drug/metabilite name,Characteristics,Value,Unit,Summary Statistics,variation type,variation value,Interval type,Interval low,Interval high,Frequency,Route,Schedule,Subjects n,Population,Pregnancy Stage ,Gestational Age,P-value,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
20914,meperidine,dose,0.518,mmol,mean,SD,0.106,,,,,IV or IM,during labor,7.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,2,2025-12-02T15:56:54.560214
20914,meperidine,dose-delivery interval,3.3,h,mean,SD,1.68,,,,,,,7.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,3,2025-12-02T15:56:54.560214
47537,meperidine,dose,150,mg,,,,,,,once,intramuscular,,8.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,4,2025-12-02T15:56:54.560214
47537,Diamorphine,,10,,,,,,,,,,,8.0,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,5,2025-12-02T15:56:54.560214
47537,Cyclizine,,50,,,,,,,,,,,24.0,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,6,2025-12-02T15:56:54.560214
47537,Pentazocine,,60,,,,,,,,,,,8.0,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,7,2025-12-02T15:56:54.560214
47537,Metaclopromide,,10,,,,,,,,,,,10.0,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,8,2025-12-02T15:56:54.560214
47537,Paracetamol,,1.5,grams (g),,,,,,,once,oral,,56.0,Maternal,Labor,,,also duringpostpartum period,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,9,2025-12-02T15:56:54.560214
47537,Paracetamol,dose-delivery interval,10.6,hours (h),mean,SD,1.9,,,,,,,12.0,,,,,Paracetamol alone,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,10,2025-12-02T15:56:54.560214
47537,Paracetamol,,2.6,,,,0.6,,,,,,,8.0,,,,,Paracetamol after meperidine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,11,2025-12-02T15:56:54.560214
47537,Paracetamol,,4.2,,,,0.9,,,,,,,8.0,,,,,Paracetamol after diamorphine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,12,2025-12-02T15:56:54.560214
47537,Paracetamol,,4.7,,,,1.1,,,,,,,8.0,,,,,Paracetamol after pentazocine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,13,2025-12-02T15:56:54.560214
47537,Paracetamol,,1.5,,,,0.4,,,,,,,5.0,,,,,Paracetamol after meperidine/metoclopramide,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,14,2025-12-02T15:56:54.560214
47537,Paracetamol,,6.7,,,,1.9,,,,,,,5.0,,,,,Paracetamol after diamorphine/metoclopramide,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,15,2025-12-02T15:56:54.560214
47537,,,,,Maternal,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,16,2025-12-02T15:56:54.560214
359109,butorphanol,dose,1 or 2,mg,,,,,,,1 or 2,IM,,6.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,17,2025-12-02T15:56:54.560214
359109,meperidine,dose,40,mg,,,,,,,1 or 2,IM,,6.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,18,2025-12-02T15:56:54.560214
434034,Meperidine,dose,50,mg,mean,,,,,,once,intravenous,,23.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,19,2025-12-02T15:56:54.560214
434034,Meperidine,dose-delivery interval,210,minutes (min),mean,,26.0,,,,,,,10.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,20,2025-12-02T15:56:54.560214
434035,Meperidine,dose,50,mg,median,,,,,,once,intravenous,,30.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,21,2025-12-02T15:56:54.560214
466928,morphine,dose,0.15,mg/kg,,,,,,,1,IV,as premedication before surgery,19.0,child,,,,group A,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,22,2025-12-02T15:56:54.560214
466928,morphine,dose,1.15,mg/kg,,,,,,,1,IV,as premedication before surgery,4.0,child,,,,group B,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,23,2025-12-02T15:56:54.560214
466928,morphine,dose,0.075,mg/kg,,,,,,,1,IV,at the beginning of the surgical operation,4.0,child,,,,group B,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,24,2025-12-02T15:56:54.560214
466928,morphine,dose,1.15,mg/kg,,,,,,,1,IV,as premedication before surgery,,child,,,,group C,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,25,2025-12-02T15:56:54.560214
466928,morphine,dose,0.075,mg/kg,,,,,,,multiple,IV,during the surgical procedure whenever the anesthesiologist considered it necessay to relieve pain,,child,,,,group C,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,26,2025-12-02T15:56:54.560214
656525,meperidine,dose,,,,,,,,,1,IV,,9.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,27,2025-12-02T15:56:54.560214
656525,,,,,,,,,,,1,IM,,4.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,28,2025-12-02T15:56:54.560214
656525,,,,,,,,,,,multiple,,,4.0,maternal,labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,29,2025-12-02T15:56:54.560214
910821,methadone,,,,,,,,,,,,,22.0,maternal,pregnancy,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,30,2025-12-02T15:56:54.560214
1163360,methadone,dose,38.1,mg/day,mean,SD,3.9,range,10.0,100.0,,,,29.0,maternal,pregnancy,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,31,2025-12-02T15:56:54.560214
1218165,morphine hydrochloride,dose,0.2,mg/kg,,,,,,,once,intramuscular,,47.0,maternal,trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,32,2025-12-02T15:56:54.560214
1218165,hyoscine bromide,dose,0.006,mg/kg,,,,,,,once,intramuscular,,47.0,maternal,trimester 1,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,33,2025-12-02T15:56:54.560214
1261164,Propoxyphene ,dose,1.5,mg/kg,,,,,,,1,oral,,23.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,34,2025-12-02T15:56:54.560214
1261164,propranolol,dose,,,,,,,,,,oral,6 hourly for at least 3 days,7.0,child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,35,2025-12-02T15:56:54.560214
1271174,methadone,dose,38.1,mg/day,mean,SD,3.9,range,10.0,100.0,,,,28.0,maternal,pregnancy,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,36,2025-12-02T15:56:54.560214
1424407,meperidine ,dose,1,mg/kg,,,,,,,single dose,IV,"after surgery, administered over a period of 1 minute",21.0,infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,37,2025-12-02T15:56:54.560214
1424407,,,,,,,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,38,2025-12-02T15:56:54.560214
1437393,Meperidine,dose,25,mg,,,,,,,bolus,intravenous,,8.0,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,39,2025-12-02T15:56:54.560214
1437393,,,25,mg/h,,,,,,,infusion,intravenous,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,40,2025-12-02T15:56:54.560214
1437393,,,,mg,,,125.0,,,,,intravenous,for < 4 hours,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,41,2025-12-02T15:56:54.560214
1437393,,,1.18,mg/kg,mean,,0.43,,,,infusion,intravenous,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,42,2025-12-02T15:56:54.560214
1437393,Meperidine,dose-delivery interval,5.5,hours (h),,,2.1,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,43,2025-12-02T15:56:54.560214
1437393,Bupivacaine 0.25%,dose,0.99,mg/kg,,,0.2,,,,,epidural,,,,,,,meperidine group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,44,2025-12-02T15:56:54.560214
1437393,,,0.99,mg/kg,,CT/PK,0.26,,,,,epidural,,8.0,,,,,control group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,45,2025-12-02T15:56:54.560214
1437393,,,,,,CT/PK/PD,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,46,2025-12-02T15:56:54.560214
1467140,morphine,dose,,,,,,,,,,continuousinfusion,,12.0,neonate/infant,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,47,2025-12-02T15:56:54.560214
1467165,"meperidine, morphine, or codeine",Morphine-equivalent dose,32,ug/kg/h,mean,SD,20.0,,,,,IM or IV,every 3 or 4 hours,32.0,child,,,,"Group A: : meperidine, morphine, or codeine IM or IV bolus",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,48,2025-12-02T15:56:54.560214
1467165,"meperidine, morphine, or codeine",duration of opioid treatment,5.1,days,mean,SD,2.4,,,,,IM or IV,every 3 or 4 hours,32.0,child,,,,"Group A: : meperidine, morphine, or codeine IM or IV bolus",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,49,2025-12-02T15:56:54.560214
1467165,Morphine,dose,34,ug/kg/h,mean,SD,11.0,,,,,CIV,"a loading dose of 0.15 mg/kg of morphine sulfate was followed by CIV of morphine at an initial rate of 40 pg/kg/hr. When necessary, doses were increased every 8 hours in increments of 20 pg/kg/hr to a maximum rate of 100 pg/kg/hr. When effective analgesis (see below) had been achieved/maintained for at least 24 hours, the dose rate was decreased every 8 hours by steps of 20 pg/kg/hr. When serious side effects of morphine were observed (see below), CIV morphine dose rate was decreased or stopped",34.0,child,,,,Group B: patients receiving CIV morphine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,50,2025-12-02T15:56:54.560214
1467165,Morphine,duration of opioid treatment,4.7,days,mean,SD,2.8,,,,,CIV,"a loading dose of 0.15 mg/kg of morphine sulfate was followed by CIV of morphine at an initial rate of 40 pg/kg/hr. When necessary, doses were increased every 8 hours in increments of 20 pg/kg/hr to a maximum rate of 100 pg/kg/hr. When effective analgesis (see below) had been achieved/maintained for at least 24 hours, the dose rate was decreased every 8 hours by steps of 20 pg/kg/hr. When serious side effects of morphine were observed (see below), CIV morphine dose rate was decreased or stopped",34.0,child,,,,Group B: patients receiving CIV morphine,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,51,2025-12-02T15:56:54.560214
1533168,sufentanil ,dose,4,ug/kg,,,,,,,,IV,given in the 15minute period before surgery. ,10.0,infant/child,,,,sufentanil monoanesthesia (SM) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,52,2025-12-02T15:56:54.560214
1533168,sufentanil ,dose,4,ug/kg,,,,,,,,IV,given in the 15minute period before surgery. ,10.0,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,53,2025-12-02T15:56:54.560214
1533168,flunitrazepam,dose,40,ug/kg,,,,,,,,IV,given in the 15minute period before surgery. ,10.0,infant/child,,,,sufentanil/unitrazepam combination (SF) group,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,54,2025-12-02T15:56:54.560214
1540490,codeine phosphate,dose per suppository,4,mg,,,,,,,1,rectal,one suppository during elective surgery,9.0,infant/child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,55,2025-12-02T15:56:54.560214
1540490,codeine phosphate,dose per suppository,8,mg,,,,,,,5,rectal,"one suppository during elective surgery, in the latter, another suppository was administered every 6 th hour for a total of five doses",4.0,infant/child,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,56,2025-12-02T15:56:54.560214
1551153,Fentanyl,dose,2,ug/kg,,,,,,,,IV,during either an elective Caesarean section or apostpartum tubal ligation,13.0,maternal,post-partum,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,57,2025-12-02T15:56:54.560214
1551160,fentanyl,total dose,1025,ug,,,,range,0.1,0.2,,IV,"self-administered boluses of 25 txg of fentanyl with a lock-out interval often min. In addition, a concurrent fentanyl infusion of 25 I~g _x000C_9 hr -t was given.",1.0,maternal,delivery,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,58,2025-12-02T15:56:54.560214
1567033,Bupivacaine,dose,12,mg,,,,,,,,intrathecal,,30.0,Maternal,Labor,,,1.6 ml of 0.75% solution,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,59,2025-12-02T15:56:54.560214
1567033,Morphine,dose,0.6,mg,,PK/PD,,,,,,intrathecal,,30.0,,,,,0.6 ml,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,60,2025-12-02T15:56:54.560214
1567033,Normal saline,dose,0.2,ml,,PK,,,,,,intrathecal,,15.0,,,,,"0.2 ml, 2.4 ml total",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,61,2025-12-02T15:56:54.560214
1567033,Epinephrine,dose,0.2,mg,,,,,,,,intrathecal,,15.0,,,,,"0.2 ml, 2.4 ml total",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,62,2025-12-02T15:56:54.560214
1567033,Ephedrine,dose,5,mg,,,,,,,,intravenous,,4.0,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,63,2025-12-02T15:56:54.560214
1567033,,,,,,PK/PD,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,64,2025-12-02T15:56:54.560214
1567033,,,,,,PK/PD,,,,,,,,,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Drug (summary data),Drug_summary,65,2025-12-02T15:56:54.560214
