PMID,Outcome,Sub-category,Value,Unit,Summary Statistics,Variation type,Variation value,Interval type,Interval low,Interval high,Subjects n,Population,Pregnancy Stage ,Gestational Age,P-value,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
434035.0,birth weight,,3310,grams,mean,SD,545.0,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,2,2025-12-02T15:57:10.570299
434035.0,Apgar score 1' <7,,2,,,,,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,3,2025-12-02T15:57:10.570299
434035.0,Apgar score 5' <7,,1,,,,,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,4,2025-12-02T15:57:10.570299
434035.0,Complications,Small for dates,2,number,frequency,,,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,5,2025-12-02T15:57:10.570299
434035.0,Complications,Large for dates,2,number,frequency,,,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,6,2025-12-02T15:57:10.570299
434035.0,Complications,Premature,2,number,frequency,,,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,7,2025-12-02T15:57:10.570299
434035.0,Complications,Post-term,1,number,frequency,,,,,,30.0,neonates,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,8,2025-12-02T15:57:10.570299
1163360.0,gestational age,,39,weeks,mean,SD,0.4,range,34,43,31.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,9,2025-12-02T15:57:10.570299
1163360.0,birth weight,full term,3087,grams,mean,SD,75.0,range,2130,3920,27.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,10,2025-12-02T15:57:10.570299
1163360.0,birth weight,preterm,1967.5,grams,mean,SD,364.1,range,1730,2510,4.0,newborn,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Outcomes (summary),Outcomes_summary,11,2025-12-02T15:57:10.570299
