PMID,Drug name,Analyte,Specimen,Population,Pregnancy Stage ,Gestational/pediatric Age,Subjectsn,Parameter type,Time,Time unit,Value,Unit,Summary Statistics,variation type,Variation value,Interval type,Interval low,interval high,P-value,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
20914.0,meperidine,meperidine,blood,maternal,labor,,7,concentration,,,1.7,nmol/ml,mean,SD,0.81,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,2,2025-12-02T15:56:56.518041
20914.0,meperidine,meperidine,cord blood,neonate,delivery,,7,concentration,,,1.45,nmol/ml,mean,SD,0.53,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,3,2025-12-02T15:56:56.518041
20914.0,meperidine,meperidine,urine,neonate,,,7,% dose excreted,24,h,0.13,,mean,SD,0.12,,,,,duation of collection,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,4,2025-12-02T15:56:56.518041
20914.0,meperidine,normeperidine,urine,neonate,,,7,% dose excreted,24,h,0.04,,mean,SD,0.02,,,,,duation of collection,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,5,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Cmax,30,minutes (mins),21,ug/ml,mean,SD,4.7,,,,,No narcotics,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,6,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,60,minutes (mins),18.7,ug/ml,mean,SD,2.1,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,7,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,90,minutes (mins),14.5,ug/ml,mean,SD,1.8,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,8,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,2,hours (hrs),12.4,ug/ml,mean,SD,1.5,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,9,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,3,hours (hrs),9,ug/ml,mean,SD,0.8,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,10,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,4,hours (hrs),6.7,ug/ml,mean,SD,0.7,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,11,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,6,hours (hrs),3.2,ug/ml,mean,SD,0.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,12,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Labor,,12,Concentration,8,hours (hrs),2,ug/ml,mean,SD,0.3,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,13,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Postpartum (PP),,10,Concentration,30,minutes (mins),17,ug/ml,mean,SD,3.9,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,14,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Postpartum (PP),,10,Cmax,60,minutes (mins),19,ug/ml,mean,SD,1.9,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,15,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Postpartum (PP),,10,Concentration,90,minutes (mins),16.8,ug/ml,mean,SD,1.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,16,2025-12-02T15:56:56.518041
47537.0,Paracetamol,paracetamol,plasma,Maternal,Postpartum (PP),,10,Concentration,2,hours (hrs),15.6,ug/ml,mean,SD,1,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,17,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,30,minutes (mins),0.8,ug/ml,mean,SD,0.4,,,,,p<0.05 compared to no narcotics,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,18,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,60,minutes (mins),1.9,ug/ml,mean,SD,0.5,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,19,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,90,minutes (mins),2.8,ug/ml,mean,SD,0.6,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,20,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,2,hours (hrs),3,ug/ml,mean,SD,0.5,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,21,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,3,hours (hrs),7.2,ug/ml,mean,SD,1.9,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,22,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Cmax,4,hours (hrs),14,ug/ml,mean,SD,3.8,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,23,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,6,hours (hrs),7.6,ug/ml,mean,SD,1.5,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,24,2025-12-02T15:56:56.518041
47537.0,meperidine,paracetamol,plasma,Maternal,Labor,,8,Concentration,8,hours (hrs),3.9,ug/ml,mean,SD,0.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,25,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,30,minutes (mins),2.2,ug/ml,mean,SD,1.1,,,,,p<0.05 compared to no narcotics,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,26,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,60,minutes (mins),3.3,ug/ml,mean,SD,0.8,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,27,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,90,minutes (mins),4.5,ug/ml,mean,SD,1.4,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,28,2025-12-02T15:56:56.518041
47537.0,Diamorphine,paracetamol,plasma,Maternal,Labor,,8,Concentration,2,hours (hrs),5.9,ug/ml,mean,SD,1.3,,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Pk param (summary data),PKparam_summary,29,2025-12-02T15:56:56.518041
