PMID,Characteristics,Sub-category,Value,Unit,Summary Statistics,variation type,variability value,Interval type,Interval high,Interval low,Subjects n,Population,PregnancyStage,Gestational Age,P-values,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
20914.0,birth weight,,3.43,kg,mean,SD,0.32,,,,7,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,2,2025-12-02T15:56:41.182352
20914.0,mean urine pH,,6.77,,mean,SD,0.49,,,,7,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,3,2025-12-02T15:56:41.182352
20914.0,sex,male,7,count,,,,,,,7,neonate,,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,4,2025-12-02T15:56:41.182352
47537.0,Age,,23,years (y),mean,,,range,34,17,56,Maternal,Labor,,,some inpostpartum period. ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,5,2025-12-02T15:56:41.182352
434034.0,Age,Pregnant women,20,years (y),mean,SD,4,range,28,15,10,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,6,2025-12-02T15:56:41.182352
434034.0,Age,Volunteers 1,33,years (y),mean,SD,11,,,,4,Nonpregnant,,,,From Mather 1975,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,7,2025-12-02T15:56:41.182352
434034.0,Age,Surgical patients,40,years (y),mean,SD,17,,,,29,Nonpregnant,,,,From Mather 1975,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,8,2025-12-02T15:56:41.182352
434034.0,Age,Medical students,na,years (y),,,,range,30,21,6,Nonpregnant,,,,From Klotz 1974,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,9,2025-12-02T15:56:41.182352
434034.0,Age,Volunteers 2,43,years (y),,,,,,,8,Nonpregnant,,,,From Stambaugh 1976,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,10,2025-12-02T15:56:41.182352
434034.0,Race,Black,10,count,,,,,,,23,Maternal,Labor,,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Population (summary data),Population_summary,11,2025-12-02T15:56:41.182352
