PMID,Specimen type,Value,Unit,Time to specimen,Time unit,summary statistics,Variation type,variation value,Interval type,Interval low,Interval high,Subjects n,Population,Pregnancy Stage ,Gestational Age,Notes,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at
20914.0,urine,,,24,h,,,,,,,7,neonate,,,Urine was collected up to 24 h after birth,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,2,2025-12-02T15:56:55.066294
20914.0,blood,,,,,,,,,,,7,maternal,,,at delivery,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,3,2025-12-02T15:56:55.066294
20914.0,umbilical blood,,,,,,,,,,,7,maternal,,,at delivery,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,4,2025-12-02T15:56:55.066294
47537.0,blood,,,15-90,minutes (mins),,,,,,,18,Maternal,Labor,,"every 15 minutes, included subjects on pentazocine, meperidine/metoclopramide,/diamorphine/metoclopramide",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,5,2025-12-02T15:56:55.066294
47537.0,blood,,,30-120,minutes (mins),,,,,,,10,Maternal,Postpartum (PP),,"at 30,60,90,/120 minutes",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,6,2025-12-02T15:56:55.066294
47537.0,blood,,,30-90,minutes (mins),,,,,,,28,Maternal,Labor,,"at 30,60,/90 minutes, included subjects on no narcotics or meperidine alone or diamorphine alone",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,7,2025-12-02T15:56:55.066294
47537.0,blood,,,2-8,hours (h),,,,,,,28,Maternal,Labor,,"at 2,3,4,6,/8 hours, included subjects on no narcotics or meperidine alone or diamorphine alone",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,8,2025-12-02T15:56:55.066294
359109.0,blood,,,128,minutes,,,,,,,6,maternal,labor,,"at delivery, 1.5 to 3.5 hours , after inlramuscular administration of a single or two successive doses of butorphanol 1 mg or 2 mg ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,9,2025-12-02T15:56:55.066294
359109.0,blood,,,121,minutes,,,,,,,6,maternal,labor,,"at delivery, 1.5 to 3.5 hours , after inlramuscular administration of a single or two successive doses of butorphanol 1 mg or 2 mg ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,10,2025-12-02T15:56:55.066294
359109.0,umbilical blood,,,128,minutes,,,,,,,6,neonate,,,"at delivery, 1.5 to 3.5 hours , after inlramuscular administration of a single or two successive doses of butorphanol 1 mg or 2 mg ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,11,2025-12-02T15:56:55.066294
359109.0,umbilical blood,,,121,minutes,,,,,,,6,neonate,,,"at delivery, 1.5 to 3.5 hours , after inlramuscular administration of a single or two successive doses of butorphanol 1 mg or 2 mg ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,12,2025-12-02T15:56:55.066294
434034.0,Blood,,,,,,,,,,,23,Maternal,Labor,,"before dose(1)/after dose at 1,3,5,7,10,20,30,60 mins,/every 30 minutes until delivery. Maternal sample at delivery coincided with cord clamping,",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,13,2025-12-02T15:56:55.066294
434035.0,umbilical vein blood,,,,,,,,,,,30,fetal,delivery,,Venous/arterial blood samples were collected separately from a doubly clamped section of umbilical cord obtained at birth. ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,14,2025-12-02T15:56:55.066294
434035.0,umbilical artery blood,,,,,,,,,,,30,fetal,delivery,,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,15,2025-12-02T15:56:55.066294
434035.0,urine,,,24,hr,,,,,,,3,neonates,,,Three 24 hour urine samples were collected from thr neonate in plastic newborn urine collection hags.*,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,16,2025-12-02T15:56:55.066294
466928.0,blood,,,,,,,,,,,53,child,,,"The samples were taken at frequent intervals for 8 hr after the intravenous injections in groups A/B. In group C, the samples were taken just before an additional dose of morphine was administered ",Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,17,2025-12-02T15:56:55.066294
910821.0,blood,,,,,,,,,,,22,maternal,pregnancy,,blood for study was drawn every two weeks/during labor ,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,18,2025-12-02T15:56:55.066294
910821.0,aminiotic fluid,,,,,,,,,,,22,maternal,labor,,collected vaginally at the time of delivery,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,19,2025-12-02T15:56:55.066294
910821.0,cord blood,,,,,,,,,,,22,neonate,,,collected at the time of delivery,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Specimen (summary),Specimen_summary,20,2025-12-02T15:56:55.066294
