PMID,PMCID,Clinical trial ID,DOI,URL,Population,Study type,Drug name,Species,Note,_source_file,_source_folder,_source_sheet_original,_source_sheet_canonical,_row_index,_processed_at,Drug CUI
20914,,,10.1093/bja/49.9.891,,Maternal/Newborn,PK,meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,2,2025-12-02T15:56:26.773920,C0025376
47537,,,,,Maternal/Labor/Postpartum,PK,Paracetamol/meperidine/Diamorphine/Pentazocine/metoclopramide,Human,Figures show inhibitory effects of narcotics on paracetamol,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,3,2025-12-02T15:56:26.773920,C0373527|C0025376|C0011892|C0030873|C0025853
359109,,,10.1007/BF03006569,,Maternal/labor/delivery/Newborn,"PK, efficacy, side effects",butorphanol/meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,4,2025-12-02T15:56:26.773920,C0006491|C0025376
434034,,,,,Maternal/Labor,PK,Meperidine,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,5,2025-12-02T15:56:26.773920,C0025376
434035,,,,,Maternal/Labor/Fetal/Neonate,PK,Meperidine,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,6,2025-12-02T15:56:26.773920,C0025376
466928,,,10.1002/cpt1979263354,,Children,PK,morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,7,2025-12-02T15:56:26.773920,C0026549
656525,,,10.1159/000241055,,Maternal/Infant,PK,meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,8,2025-12-02T15:56:26.773920,C0025376
910821,,,10.1016/0002-9378(77)90588-9,,Maternal/Neonate,PK,methadone,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,9,2025-12-02T15:56:26.773920,C0202418
1115163,,,,,Maternal/pregnancy/Delivery/Postpartum/Fetal,PK,methadone,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,10,2025-12-02T15:56:26.773920,C0202418
1163360,,,,,Maternal/Neonate,PK,methadone,Human,Concentration-time figure available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,11,2025-12-02T15:56:26.773920,C0202418
1218165,,,10.1093/bja/47.12.1265,,Maternal/Pregnancy/TOP,PK,morphine,Human,individual plasma morphine concentrations available in figures,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,12,2025-12-02T15:56:26.773920,C0026549
1261164,,,10.1002/cpt1976193264,,Children,PK,propoxyphene,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,13,2025-12-02T15:56:26.773920,C0033493
1271174,,,10.1016/s0022-3476(76)81074-8,,Maternal/Neonate,PK,methadone,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,14,2025-12-02T15:56:26.773920,C0202418
1424407,,,10.1038/clpt.1992.153,,Neonates/Infant,"PK, PD",meperidine ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,15,2025-12-02T15:56:26.773920,C0025376
1437393,,,,,Maternal/Neonate/Labor/Postpartum,PK/PD,Meperidine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,16,2025-12-02T15:56:26.773920,C0025376
1467140,,,10.1111/j.1365-2125.1992.tb05652.x,,Neonate/Infant,PK,Morphine ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,17,2025-12-02T15:56:26.773920,C0026549
1467165,,,10.3109/08880019209016603,,Children,PK,Morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,18,2025-12-02T15:56:26.773920,C0026549
1533168,,,10.1016/1053-0770(92)90195-d,,Infant/child,PK,sufentanil ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,19,2025-12-02T15:56:26.773920,C0143993
1540490,,,10.1111/j.1365-2125.1992.tb03999.x,,Infant/Young Children,PK,codeine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,20,2025-12-02T15:56:26.773920,C0009214
1551153,,,10.1007/BF03008782,,Maternal/Lactation,PK ,fentanyl,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,21,2025-12-02T15:56:26.773920,C0015846
1551160,,,10.1111/j.1440-1754.1991.tb00360.x,,Maternal/Fetal,PK case report,fentanyl,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,22,2025-12-02T15:56:26.773920,C0015846
1567033,,,,,Maternal/Labor,PK,Morphine/Bupivacaine,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,23,2025-12-02T15:56:26.773920,C0026549|C0006400
1578319,,,10.1016/s0022-3476(05)80251-3,,Preterm Newborn Infant,PK,Morphine ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,24,2025-12-02T15:56:26.773920,C0026549
1632539,,,,,Neonates,PK,alfentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,25,2025-12-02T15:56:26.773920,C0002026
1636668,,,10.1001/archpedi.1992.02160200094036,,Children,PK,Morphine ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,26,2025-12-02T15:56:26.773920,C0026549
1683310,,,,,Maternal/Delivery/Fetal,PK,meperidine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,27,2025-12-02T15:56:26.773920,C0025376
1765214,,,,,Maternal//Labor/delivery/Neonate,PK,Fentanyl,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,28,2025-12-02T15:56:26.773920,C0015846
1869598,,,10.1111/j.1365-2710.1991.tb00303.x,,Children,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,29,2025-12-02T15:56:26.773920,C0026549
1883657,,,10.1111/j.1440-1754.1991.tb00360.x,,Maternal/Neonate,PK,methadone ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,30,2025-12-02T15:56:26.773920,C0202418
1919898,,,10.1016/s0022-3476(05)82419-9,,Neonate,PK,fentanyl ,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,31,2025-12-02T15:56:26.773920,C0015846
1923912,,,,,Neonate ,PK,alfentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,32,2025-12-02T15:56:26.773920,C0002026
2012289,,,,,Children,PKPD,morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,33,2025-12-02T15:56:26.773920,C0026549
2078976,,,10.1159/000457625,,Neonate ,PK,alfentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,34,2025-12-02T15:56:26.773920,C0002026
2097341,,,,,Maternal/Labor/Adult/Neonate,PK,Morphine,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,35,2025-12-02T15:56:26.773920,C0026549
2137997,,,10.1097/00000542-199003000-00013,,Pediatric/Adult,PK,sufentanil,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,36,2025-12-02T15:56:26.773920,C0143993
2231835,,,10.3109/15563659008994437,,Maternal/Lactation/Neonate,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,37,2025-12-02T15:56:26.773920,C0026549
2240676,,,,,Maternal/Labor/Lactation/Neonate,PK/PD,Meperidine/Morphine,human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,38,2025-12-02T15:56:26.773920,C0025376|C0026549
2248393,,,10.1097/00000542-199012000-00011,,Neonate,PK,fentanyl,Human,plasma fentanyl concentrations are plotted by ECMO day,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,39,2025-12-02T15:56:26.773920,C0015846
2262875,,,,,Maternal/Labor/Delivery/Fetal,PK,Morphine,Human,fetal-maternal ratio to time curves,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,40,2025-12-02T15:56:26.773920,C0026549
2288836,,,10.1111/j.1365-2125.1990.tb05458.x,,Pediatric,PK,morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,41,2025-12-02T15:56:26.773920,C0026549
2288837,,,10.1111/j.1365-2125.1990.tb05459.x,,Children,"PK, case report",morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,42,2025-12-02T15:56:26.773920,C0026549
2354106,,,10.1093/bja/64.5.649-a,,Adolescent,"PK, case report",morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,43,2025-12-02T15:56:26.773920,C0026549
2485290,,,,,Maternal/Pregnancy,PK/PM,Methadone,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,44,2025-12-02T15:56:26.773920,C0202418
2568289,,,,,Maternal/Labor,PK,meperidine,human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,45,2025-12-02T15:56:26.773920,C0025376
2590614,,,10.1111/j.1365-2125.1989.tb03548.x,,Children/Premature Neonates,PK,morphine,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,46,2025-12-02T15:56:26.773920,C0026549
2719905,,,10.1111/j.1365-2125.1989.tb05401.x,,Children,"PK, case report",morphine,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,47,2025-12-02T15:56:26.773920,C0026549
2729393,,,,,Maternal/Labor/Adult,PK,Meperidine,human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,48,2025-12-02T15:56:26.773920,C0025376
2744067,,,,,Maternal/Pregnancy/Adult,PK,Meptazinol,Human,Concentration-time curve available,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,49,2025-12-02T15:56:26.773920,C0025387
2800981,,,10.1111/j.1399-6576.1989.tb02938.x,,Maternal/Lactation,PK,Morphine ,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,50,2025-12-02T15:56:26.773920,C0026549
2876662,,,,,Maternal/Term/Adult/Neonate,PK,Alfentanil,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,51,2025-12-02T15:56:26.773920,C0002026
2913858,,,,,Infant/Children/Adults,PKPD,fentanyl,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,52,2025-12-02T15:56:26.773920,C0015846
2959170,,,,,Pediatric,PK,Sufentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,53,2025-12-02T15:56:26.773920,C0143993
2964213,,,,,Adolescent,PK,sufentanil,human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,54,2025-12-02T15:56:26.773920,C0143993
2979128,,,,,Children,PKPD,alfentanil,Human,,Combined PK ONLY Opioids Data Curation 10.2023.xlsx,Aditi,Study,Study,55,2025-12-02T15:56:26.773920,C0002026
